Time Posted,Image URL,Instagram Post,Caption,Media Type,Reach,Plays,Total Interactions,Likes,Comments,Saves,Shares,Hashtags
11-20-2020 18:01:04,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/126093417_291368722151576_3901052159896269254_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Lq-2WIguPcAAX_pfrGO&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT--lWwL11YzGn-gWfZhnKoz2yhxm5E2mL_mt6NvsDipzQ&oe=6301C62B,https://www.instagram.com/reel/CH0mXI8lwhs/,"Here are some movies to watch if you love Tom Felton in Harry Potter. What do you think of our choices?

#totalnerd #movie #movies #harrypotter #harrypottermovies #harrypotterfilms",VIDEO,47343,45181,468,379,1,64,24,
11-12-2020 23:36:29,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/124580481_191034732516436_1198093480055124903_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=uxwhzQgtazIAX813WdK&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT93RvtKmMW0gwkHaspTZxMnSY419ywReHVK02LtbLFRAA&oe=63004E6E,https://www.instagram.com/tv/CHgmXjLjy-E/,Do you think the fourth season will live up to the hype? #hbo #watchworthy #youngsheldon #ranker,VIDEO,25603,n/a,n/a,170,0,27,n/a,
11-04-2020 18:00:52,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/123410186_171991307903853_1093840406320121239_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=_OjY3dJnIEsAX_jOiWR&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-JU_1o9R6ODePGnxQrxzyHu3ZSgAMQi5VUT3LJkjP_0g&oe=63012F0B,https://www.instagram.com/reel/CHLZnvpFtTZ/,"Here are some movies to watch if you love Alan Rickman as Professor Snape. Do you agree with our choices?

#totalnerd #harrypotter #harrypottermovies #alanrickman #snape #severus",VIDEO,213666,201038,3921,2725,34,829,333,
11-04-2020 16:24:21,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/123373628_363747154853941_7762491405962372770_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=k5vIGCBnXrUAX9vJRHG&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_-F4JiDnV2B0zv8EadTIntJ7LCHzB8H5_EmWZm-JTwJQ&oe=63014CE9,https://www.instagram.com/tv/CHLOj2gAEU6/,Will the new season of 'The Mandalorian' live up to the hype? #themandalorian #disneyplus #disney #starwars,VIDEO,18304,n/a,n/a,139,0,13,n/a,
11-03-2020 18:22:21,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/123773996_664019004279670_5847545652277141594_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=8rvk8cwZS88AX_Eihco&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_XnhopJKGgyu3Z_Rl8wzibrunGDuSAhnL1g1zWHwt8Zg&oe=63006E14,https://www.instagram.com/reel/CHI3Rz4Ffh2/,"Here are some shows to watch if you love The Umbrella Academy on Netflix. What are your favorites?

#totalnerd #netflix #umbrellaacademy #lockeandkey #themagicians #doompatrol",VIDEO,102147,102165,1968,1154,14,616,184,#umbrellaacademy  and #lokeandkey
10-29-2020 17:02:59,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/122830370_721509821803227_2789555531131205923_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=0uiQtF50Bm0AX8vdzba&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9e_7blorOg8dCVz5r4W_9IDk307dMSl0MXA5Xgg1bYoA&oe=63016E18,https://www.instagram.com/reel/CG72Oq2lVY2/,"Here are our picks for the best comfort movies on HBO Max. What are some of your selections?

#totalnerd #hbomax #movie #movies",VIDEO,89746,87698,1980,1562,35,351,32,
10-28-2020 17:00:31,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/122881787_3352830484835538_5985101318160346957_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=AKAtFA-PihoAX-hkvsW&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_qCMRMFkWDiHFifp1Y-4LiWPkOOaHpWCcuYHDuWcVexA&oe=630132A4,https://www.instagram.com/reel/CG5RJPjFSWf/,"One fan theory claims that Hermione is actually Harry Potter’s sister… and it’s not as crazy as it sounds. Do you think it’s possible?

#totalnerd #harrypotter #harrypotterbooks #harrypottermovies",VIDEO,49890,51463,602,428,7,69,98,
10-27-2020 23:31:37,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/122720570_380940709724329_322627478792407394_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=P0wjZKljuYAAX_GBNJf&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-uDIIc8WZAg_oQGKmXPulAs4RAe4Brs7rrfsGKZ0V01A&oe=63017562,https://www.instagram.com/tv/CG3ZGkFD7qB/,Will the new season of 'Superstore' live up to the hype? #superstore #nbc #show #tv #ranker,VIDEO,13641,n/a,n/a,52,0,12,n/a,
10-27-2020 17:04:34,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/122706572_120456513169957_3834283985826854819_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Z_zsoyP3yPIAX9B-U0U&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-InfPX2bfBjkgU3QZlAD50uRUtiEZFQ-aCFP_-TcxUAA&oe=6301690C,https://www.instagram.com/reel/CG2s0kCFzyB/,"Here is what Hermione should have looked like, according to the #harrypotterbooks

#totalnerd #harrypotter #harrypottermovies",VIDEO,112371,111847,2108,1663,16,167,262,
10-21-2020 23:32:33,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/122145679_383736623035976_5291357764905607098_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xE0-OVa7XEAAX_OY7As&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8bmpbQ28ZY-tvgnddQiG8iKmiuVAtsUc771na23q4ZbA&oe=6300AA24,https://www.instagram.com/tv/CGn8bjrF5Xa/,Will the new season of 'Star Trek: Discovery' live up to the hype? #ranker #startrek #startrekdiscovery,VIDEO,12913,n/a,n/a,58,0,6,n/a,
10-20-2020 00:58:42,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/121968301_376674990360572_5352337001995315703_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=v6At-pKzqwwAX-h43r6&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-LCJkBqOPYOsR-afbVj8iuhWC2tMPBadSspR15TdlZOg&oe=6301071D,https://www.instagram.com/tv/CGisYOulYJd/,"If you were a kid in the 90's you probably saw Zen The Intergalactic Ninja everywhere. Toys, Comics, Video Games, and Trading Cards. But did anyone actually like, Zen The Intergalactic Ninja? 

#Zen #IntergalacticNinja #TotalNerd",VIDEO,29728,n/a,n/a,406,4,113,n/a,
10-16-2020 21:14:53,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/121529190_370308844115042_7380278473934028153_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=vmXnfHymKJ4AX-KvPW5&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9BUKPTWW64sagzALQOaZxtGgX9w-BbGN_KG7QFqLHQrw&oe=6300554C,https://www.instagram.com/tv/CGa0s-2n9qE/,Will the new season of 'Swamp Thing' live up to the hype? #ranker #swampthing #dc #comics,VIDEO,23636,n/a,n/a,335,4,58,n/a,
10-16-2020 19:10:17,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/121582617_768613847030887_1260429626307089303_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=j_2Rub8eXnkAX_QBMa6&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9cpxbLGzmmXaV6ErBZxJ1IsinI_negmw4rL3xJM8bzJw&oe=6301046F,https://www.instagram.com/tv/CGakygiFNpY/,"Take your Star Wars, your Batmans, your Witcher novels, throw them into a video game, and what do you get? Sometimes kitsch, sometimes garbage, and sometimes...just sometimes, you get an incredible video game.

#VideoGames #LicensedGames #TotalNerd",VIDEO,18254,n/a,n/a,145,1,26,n/a,
10-15-2020 02:20:46,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/121285629_350115942741459_3685817249001899006_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=8PP312pCkdwAX98l_mV&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9mPHOGY8Bv3sT5n86LSGMxivEovh5A-bESxJ8xB8y_Ow&oe=63002A91,https://www.instagram.com/tv/CGWLq1yFRFr/,"Doom is one of the most iconic video games of all time. It almost single handedly solidified the first person shoot genre. The game has spawned a franchise, feature films, and a mountain of merchandise.

#TotalNerd #Doom #VideoGames",VIDEO,30780,n/a,n/a,724,6,180,n/a,
